,country,election name,provincial election,province,district,constituency no,name,party name,received votes
201,Nepal,Parliament & Provincial Election 2079,Provincial Election,Gandaki Pradesh,Kaski,Constituency : 1 (2),Bed Bahadur Gurung,CPN UML,"12,661"
202,Nepal,Parliament & Provincial Election 2079,Provincial Election,Gandaki Pradesh,Kaski,Constituency : 2 (1),Bhim Bahadur Karki,CPN UML,"10,531"
203,Nepal,Parliament & Provincial Election 2079,Provincial Election,Gandaki Pradesh,Kaski,Constituency : 2 (2),Bindu Kumar Thapa,Nepali Congress,"9,280"
204,Nepal,Parliament & Provincial Election 2079,Provincial Election,Gandaki Pradesh,Kaski,Constituency : 3 (1),Ganeshman Gurung,CPN UML,"14,473"
205,Nepal,Parliament & Provincial Election 2079,Provincial Election,Gandaki Pradesh,Kaski,Constituency : 3 (2),Prakash Baral,Nepali Congress,"12,367"
206,Nepal,Parliament & Provincial Election 2079,Provincial Election,Gandaki Pradesh,Manang,Constituency : 1 (1),Munindra Jung Gurung,Nepali Congress,"1,255"
207,Nepal,Parliament & Provincial Election 2079,Provincial Election,Gandaki Pradesh,Manang,Constituency : 1 (2),Rajib Gurung,Independent,0
208,Nepal,Parliament & Provincial Election 2079,Provincial Election,Gandaki Pradesh,Mustang,Constituency : 1 (1),Namdu Gurung,Nepali Congress,"1,048"
209,Nepal,Parliament & Provincial Election 2079,Provincial Election,Gandaki Pradesh,Mustang,Constituency : 1 (2),Bikal Sherchan,Nepali Congress,"2,723"
210,Nepal,Parliament & Provincial Election 2079,Provincial Election,Gandaki Pradesh,Parbat,Constituency : 1 (1),Bhakta Bahadur Kunwar,CPN UML,"16,825"
211,Nepal,Parliament & Provincial Election 2079,Provincial Election,Gandaki Pradesh,Parbat,Constituency : 1 (2),Mitralal Basyal,CPN UML,"14,132"
212,Nepal,Parliament & Provincial Election 2079,Provincial Election,Gandaki Pradesh,Myagdi,Constituency : 1 (1),Hari Bahadur Bhandari,CPN Maoist,"12,740"
213,Nepal,Parliament & Provincial Election 2079,Provincial Election,Gandaki Pradesh,Myagdi,Constituency : 1 (2),Resambahadur Jugjali,CPN Maoist,"9,454"
214,Nepal,Parliament & Provincial Election 2079,Provincial Election,Gandaki Pradesh,Baglung,Constituency : 1 (1),Dipendra Bahadur Thapa,Nepali Congress,"13,884"
215,Nepal,Parliament & Provincial Election 2079,Provincial Election,Gandaki Pradesh,Baglung,Constituency : 1 (2),Dilli Ram Paudel,Nepali Congress,"13,327"
216,Nepal,Parliament & Provincial Election 2079,Provincial Election,Gandaki Pradesh,Baglung,Constituency : 2 (1),Jit Bahadur Serchan,Nepali Congress,"15,108"
217,Nepal,Parliament & Provincial Election 2079,Provincial Election,Gandaki Pradesh,Baglung,Constituency : 2 (2),Dorna Kumar Kunwar,Nepali Congress,"12,408"
218,Nepal,Parliament & Provincial Election 2079,Provincial Election,Gandaki Pradesh,Nawalparasi East,Constituency : 1 (1),Mahendra Dwaj G.C.,Nepali Congress,"15,137"
219,Nepal,Parliament & Provincial Election 2079,Provincial Election,Gandaki Pradesh,Nawalparasi East,Constituency : 1 (2),Roshan Bahadur Gaha Thapa,CPN UML,"17,823"
220,Nepal,Parliament & Provincial Election 2079,Provincial Election,Gandaki Pradesh,Nawalparasi East,Constituency : 2 (1),Padma G.C.,CPN UML,"19,378"
221,Nepal,Parliament & Provincial Election 2079,Provincial Election,Gandaki Pradesh,Nawalparasi East,Constituency : 2 (2),Laxman Bahadur Pandey,CPN UML,"18,806"
222,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Gulmi,Constituency : 1 (1),Chintamani Pandey,CPN UML,"15,127"
223,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Gulmi,Constituency : 1 (2),Dhanendra Karki,Nepali Congress,"18,596"
224,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Gulmi,Constituency : 2 (1),Dilliram Bhusal,CPN UML,"14,285"
225,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Gulmi,Constituency : 2 (2),Dinesh Panti,CPN UML,"13,929"
226,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Palpa,Constituency : 1 (1),Raju Prasad Shrestha,CPN UML,"17,642"
227,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Palpa,Constituency : 1 (2),Khem Bahadur Saru,CPN UML,"14,296"
228,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Palpa,Constituency : 2 (1),Bir Bahadur Rana,Nepali Congress,"16,039"
229,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Palpa,Constituency : 2 (2),Tula Ram Gharti Magar,CPN Maoist,"13,992"
230,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Rupandehi,Constituency : 1 (1),Aashish Kumar Chaudhary,Rastriya Prajatantra Party,"17,785"
231,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Rupandehi,Constituency : 1 (2),Abdul Rajak Gadhi,Nepali Congress,"12,124"
232,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Rupandehi,Constituency : 2 (1),Lila Giri,CPN UML,"17,632"
233,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Rupandehi,Constituency : 2 (2),Bhoj Prasad Shrestha,CPN UML,"16,300"
234,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Rupandehi,Constituency : 3 (1),Santosh Kumar Pandey,Loktantrik Samajwadi Party,"14,928"
235,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Rupandehi,Constituency : 3 (2),Tulsi Prashad Chaudhary,CPN UML,"16,394"
236,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Rupandehi,Constituency : 4 (1),Kanhaiya Baniya,Loktantrik Samajwadi Party,"15,155"
237,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Rupandehi,Constituency : 4 (2),Wasi Udin Khan,Nepali Congress,"11,305"
238,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Rupandehi,Constituency : 5 (1),Bhumishor Dhakal,CPN UML,"19,078"
239,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Rupandehi,Constituency : 5 (2),Chandra Kesh Gupta,Janamat Party,"12,941"
240,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Arghakhanchi,Constituency : 1 (1),Chet Narayan Aacharya,CPN UML,"20,525"
241,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Arghakhanchi,Constituency : 1 (2),Ramji Prasad Ghimire,CPN UML,"22,729"
242,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Kapilvastu,Constituency : 1 (1),Bishnu Prasad Panthi,CPN UML,"20,247"
243,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Kapilvastu,Constituency : 1 (2),,CPN UML,"11,748"
244,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Kapilvastu,Constituency : 2 (1),Nabraj Lamichhane,CPN UML,"21,136"
245,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Kapilvastu,Constituency : 2 (2),Sudhakar Pandey,Nepali Congress,"14,185"
246,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Kapilvastu,Constituency : 3 (1),Arjun Kumar K.C.,CPN UML,"11,735"
247,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Kapilvastu,Constituency : 3 (2),Janaki Prasad Yadav,Rastriya Prajatantra Party,"8,582"
248,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Pyuthan,Constituency : 1 (1),Tulsi Ram Sharma,CPN UML,"20,210"
249,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Pyuthan,Constituency : 1 (2),Saroj Thapa,Nepali Congress,"22,519"
250,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Rolpa,Constituency : 1 (1),Jhokh Bahadur Mahara,CPN Maoist,"19,425"
251,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Rolpa,Constituency : 1 (2),Dipendra Kumar Pun Magar,Independent,"14,927"
252,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Dang,Constituency : 1 (1),Indra Jit Tharu,CPN Maoist,"13,505"
253,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Dang,Constituency : 1 (2),Anurag Khadka,Nepali Congress,"16,222"
254,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Dang,Constituency : 2 (1),Raju Khanal,Nepali Congress,"15,616"
255,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Dang,Constituency : 2 (2),Prachanda Bikram Neupane,Nepali Congress,"17,469"
256,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Dang,Constituency : 3 (1),Dilli Bahadur Chaudhary,Nepali Congress,"19,850"
257,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Dang,Constituency : 3 (2),Dhan Bahadur Maski,CPN Maoist,"22,321"
258,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Bardiya,Constituency : 1 (1),Bhuwaneshor Chaudhary,Nepali Congress,"17,026"
259,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Bardiya,Constituency : 1 (2),RajKumar Chaudhary,Nagarik Unmukti Party,"13,230"
260,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Bardiya,Constituency : 2 (1),Janmajaya Timilsina,Nepali Congress,"17,251"
261,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Bardiya,Constituency : 2 (2),Darma Bahadur Chaudhary,Nagarik Unmukti Party,"20,127"
262,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Banke,Constituency : 1 (1),Krishna K.C.,CPN Maoist,"9,103"
263,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Banke,Constituency : 1 (2),Durga Prasad Chaudhary,CPN UML,"15,657"
264,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Banke,Constituency : 2 (1),Bhandari Lal Ahir,Janata Samajwadi Party,"11,504"
265,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Banke,Constituency : 2 (2),Aadesh Kumar Agrawal,Janata Samajwadi Party,"8,246"
266,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Banke,Constituency : 3 (1),Ratna Bahadur Khatri,CPN UML,"13,158"
267,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Banke,Constituency : 3 (2),Badshah Kurmi,Nepali Congress,"13,433"
268,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Nawalparasi West,Constituency : 1 (1),Biswa Prem Pathak,Nepali Congress,"15,436"
269,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Nawalparasi West,Constituency : 1 (2),Devkaran Prasad Kalwal,Nepali Congress,"11,384"
270,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Nawalparasi West,Constituency : 2 (1),Khadak Basnet,Independent,"12,449"
271,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Nawalparasi West,Constituency : 2 (2),Baijnath Kalwar,Nepali Congress,"11,782"
272,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Rukum East,Constituency : 1 (1),Surul Pun,Independent,"4,465"
273,Nepal,Parliament & Provincial Election 2079,Provincial Election,Lumbini Pradesh,Rukum East,Constituency : 1 (2),Dhan Bahadur K.C.,Nepali Congress,"4,862"
274,Nepal,Parliament & Provincial Election 2079,Provincial Election,Karnali Pradesh,Rukum West,Constituency : 1 (1),Mahendra K.C.,CPN Maoist,"19,033"
275,Nepal,Parliament & Provincial Election 2079,Provincial Election,Karnali Pradesh,Rukum West,Constituency : 1 (2),Raj Kumar Sharma,CPN Maoist,"20,160"
276,Nepal,Parliament & Provincial Election 2079,Provincial Election,Karnali Pradesh,Salyan,Constituency : 1 (1),Bhim Prakash Sharma,CPN Maoist,"22,243"
277,Nepal,Parliament & Provincial Election 2079,Provincial Election,Karnali Pradesh,Salyan,Constituency : 1 (2),Suresh Adhikari,Nepali Congress,"20,408"
278,Nepal,Parliament & Provincial Election 2079,Provincial Election,Karnali Pradesh,Surkhet,Constituency : 1 (1),Khadak Bahadur Pokhrel,Nepali Congress,"18,264"
279,Nepal,Parliament & Provincial Election 2079,Provincial Election,Karnali Pradesh,Surkhet,Constituency : 1 (2),Krishna Bahadur G.C.,CPN Maoist,"21,734"
280,Nepal,Parliament & Provincial Election 2079,Provincial Election,Karnali Pradesh,Surkhet,Constituency : 2 (1),Yam Lal Kadel,CPN UML,"18,561"
281,Nepal,Parliament & Provincial Election 2079,Provincial Election,Karnali Pradesh,Surkhet,Constituency : 2 (2),Bind Man Bista,CPN Maoist,"13,909"
282,Nepal,Parliament & Provincial Election 2079,Provincial Election,Karnali Pradesh,Dailekh,Constituency : 1 (1),Purna Bahadur Khatri,Nepali Congress,"9,482"
283,Nepal,Parliament & Provincial Election 2079,Provincial Election,Karnali Pradesh,Dailekh,Constituency : 1 (2),Krishna Kumar B.C.,Nepali Congress,"10,545"
284,Nepal,Parliament & Provincial Election 2079,Provincial Election,Karnali Pradesh,Dailekh,Constituency : 2 (1),Dhanshyam Bhandari,Nepali Congress,"10,800"
285,Nepal,Parliament & Provincial Election 2079,Provincial Election,Karnali Pradesh,Dailekh,Constituency : 2 (2),Binod Kumar Shah,CPN UML,"9,464"
286,Nepal,Parliament & Provincial Election 2079,Provincial Election,Karnali Pradesh,Jajarkot,Constituency : 1 (1),Bhed Raj Singh,Nepali Congress,"18,543"
287,Nepal,Parliament & Provincial Election 2079,Provincial Election,Karnali Pradesh,Jajarkot,Constituency : 1 (2),Rajib Bikram Shah,Nepali Congress,"16,040"
288,Nepal,Parliament & Provincial Election 2079,Provincial Election,Karnali Pradesh,Dolpa,Constituency : 1 (1),Sher Bahadur Budha,CPN UML,"4,743"
289,Nepal,Parliament & Provincial Election 2079,Provincial Election,Karnali Pradesh,Dolpa,Constituency : 1 (2),Bir Bahadur Shahi,CPN Maoist,"5,295"
290,Nepal,Parliament & Provincial Election 2079,Provincial Election,Karnali Pradesh,Humla,Constituency : 1 (1),Ran Singh Pariyar,CPN Maoist,"6,481"
291,Nepal,Parliament & Provincial Election 2079,Provincial Election,Karnali Pradesh,Humla,Constituency : 1 (2),Jivan Bahadur Shahi,Nepali Congress,"7,056"
292,Nepal,Parliament & Provincial Election 2079,Provincial Election,Karnali Pradesh,Kalikot,Constituency : 1 (1),Durg Bahadur Rawal,CPN Maoist,"9,014"
293,Nepal,Parliament & Provincial Election 2079,Provincial Election,Karnali Pradesh,Kalikot,Constituency : 1 (2),Hikmat Bahadur Bista,Nepali Congress,"13,783"
294,Nepal,Parliament & Provincial Election 2079,Provincial Election,Karnali Pradesh,Mugu,Constituency : 1 (1),Jit Bahadur Malla,CPN UML,"6,618"
295,Nepal,Parliament & Provincial Election 2079,Provincial Election,Karnali Pradesh,Mugu,Constituency : 1 (2),Mangal Bahadur Shahi,CPN Maoist,"8,429"
296,Nepal,Parliament & Provincial Election 2079,Provincial Election,Karnali Pradesh,Jumla,Constituency : 1 (1),Devendra Bahadur Shahi,Independent,"9,654"
297,Nepal,Parliament & Provincial Election 2079,Provincial Election,Karnali Pradesh,Jumla,Constituency : 1 (2),Tek Raj Pachai,CPN UML,"7,827"
298,Nepal,Parliament & Provincial Election 2079,Provincial Election,Sudurpaschim Pradesh,Bajhang,"Constituency : 1 (1), By re-election 2081",Daman Bahadur Bhandari,CPN-UML,"11,613"
299,Nepal,Parliament & Provincial Election 2079,Provincial Election,Sudurpaschim Pradesh,Bajhang,Constituency : 1 (1),Prithivi Bahadur Singh,Nepali Congress,"17,112"
300,Nepal,Parliament & Provincial Election 2079,Provincial Election,Sudurpaschim Pradesh,Bajhang,Constituency : 1 (2),Bhim Bahadur Bhandari,CPN (Maoist Center),"13,879"
301,Nepal,Parliament & Provincial Election 2079,Provincial Election,Sudurpaschim Pradesh,Achham,Constituency : 1 (1),Megh Raj Khadka,Nepali Congress,"12,337"
302,Nepal,Parliament & Provincial Election 2079,Provincial Election,Sudurpaschim Pradesh,Achham,Constituency : 1 (2),Jhatpat Bahadur Saud,CPN Maoist,"12,115"
303,Nepal,Parliament & Provincial Election 2079,Provincial Election,Sudurpaschim Pradesh,Achham,Constituency : 2 (1),Akkal Bahadur Rawal,CPN Maoist,"11,230"
304,Nepal,Parliament & Provincial Election 2079,Provincial Election,Sudurpaschim Pradesh,Achham,Constituency : 2 (2),Man Bahadur Rawal,Nepali Congress,"11,216"
305,Nepal,Parliament & Provincial Election 2079,Provincial Election,Sudurpaschim Pradesh,Doti,Constituency : 1 (1),Chakra Bahadur Malla,CPN UML,"15,279"
306,Nepal,Parliament & Provincial Election 2079,Provincial Election,Sudurpaschim Pradesh,Doti,Constituency : 1 (2),Shiva C Oli,CPN Maoist,"14,047"
307,Nepal,Parliament & Provincial Election 2079,Provincial Election,Sudurpaschim Pradesh,Kailali,Constituency : 1 (1),Kailash Chaudhary,Nagarik Unmukti Party,"15,101"
308,Nepal,Parliament & Provincial Election 2079,Provincial Election,Sudurpaschim Pradesh,Kailali,Constituency : 1 (2),Laxman Kishor Chaudhary,Nagarik Unmukti Party,"11,318"
309,Nepal,Parliament & Provincial Election 2079,Provincial Election,Sudurpaschim Pradesh,Kailali,Constituency : 2 (1),Kamal Bahadur Shah,Nepali Congress,"10,433"
310,Nepal,Parliament & Provincial Election 2079,Provincial Election,Sudurpaschim Pradesh,Kailali,Constituency : 2 (2),Rameshor Chaudhary,Nagarik Unmukti Party,"10,665"
311,Nepal,Parliament & Provincial Election 2079,Provincial Election,Sudurpaschim Pradesh,Kailali,Constituency : 3 (1),Dhanshyam Chaudhary,Nagarik Unmukti Party,"13,923"
312,Nepal,Parliament & Provincial Election 2079,Provincial Election,Sudurpaschim Pradesh,Kailali,Constituency : 3 (2),Khusi Ram Dagaura Tharu,Nagarik Unmukti Party,"7,539"
313,Nepal,Parliament & Provincial Election 2079,Provincial Election,Sudurpaschim Pradesh,Kailali,Constituency : 4 (1),Dhirga Bahadur Sodari,CPN (Unified Socialist),"13,479"
314,Nepal,Parliament & Provincial Election 2079,Provincial Election,Sudurpaschim Pradesh,Kailali,Constituency : 4 (2),Prakash Bahadur Bam,Nepali Congress,"12,473"
315,Nepal,Parliament & Provincial Election 2079,Provincial Election,Sudurpaschim Pradesh,Kailali,Constituency : 5 (1),Ramesh Singh Dhami,CPN Maoist,"9,387"
316,Nepal,Parliament & Provincial Election 2079,Provincial Election,Sudurpaschim Pradesh,Kailali,Constituency : 5 (2),Prakash Bahadur Deuba,Nepali Congress,"9,591"
317,Nepal,Parliament & Provincial Election 2079,Provincial Election,Sudurpaschim Pradesh,Kanchanpur,Constituency : 1 (1),Bir Bahadur Thapa,CPN UML,"12,385"
318,Nepal,Parliament & Provincial Election 2079,Provincial Election,Sudurpaschim Pradesh,Kanchanpur,Constituency : 1 (2),Diwan Singh Bista,Nepali Congress,"8,545"
319,Nepal,Parliament & Provincial Election 2079,Provincial Election,Sudurpaschim Pradesh,Kanchanpur,Constituency : 2 (1),Om Bikram Batta,CPN Maoist,"10,938"
320,Nepal,Parliament & Provincial Election 2079,Provincial Election,Sudurpaschim Pradesh,Kanchanpur,Constituency : 2 (2),Bahadur Singh Thapa,Nepali Congress,"10,688"
321,Nepal,Parliament & Provincial Election 2079,Provincial Election,Sudurpaschim Pradesh,Kanchanpur,Constituency : 3 (1),Prakash Rawal,CPN (Unified Socialist),"8,734"
322,Nepal,Parliament & Provincial Election 2079,Provincial Election,Sudurpaschim Pradesh,Kanchanpur,Constituency : 3 (2),Bel Bahadur Rana Magar,Nepali Congress,"16,172"
323,Nepal,Parliament & Provincial Election 2079,Provincial Election,Sudurpaschim Pradesh,Dadeldhura,Constituency : 1 (1),Khagaraj Bhatta,CPN Maoist,"12,112"
324,Nepal,Parliament & Provincial Election 2079,Provincial Election,Sudurpaschim Pradesh,Dadeldhura,Constituency : 1 (2),Tara Prasad Joshi,Independent,"11,162"
325,Nepal,Parliament & Provincial Election 2079,Provincial Election,Sudurpaschim Pradesh,Baitadi,Constituency : 1 (1),Surendra Bahadur Pal,CPN UML,"12,831"
326,Nepal,Parliament & Provincial Election 2079,Provincial Election,Sudurpaschim Pradesh,Baitadi,Constituency : 1 (2),Shiva Raj Bhatta,Nepali Congress,"17,153"
327,Nepal,Parliament & Provincial Election 2079,Provincial Election,Sudurpaschim Pradesh,Darchula,Constituency : 1 (1),Bikram Singh Dhami,Nepali Congress,"15,127"
328,Nepal,Parliament & Provincial Election 2079,Provincial Election,Sudurpaschim Pradesh,Darchula,Constituency : 1 (2),Man Bahadur Dhami,CPN Maoist,"13,171"
329,Nepal,Parliament & Provincial Election 2079,Provincial Election,Sudurpaschim Pradesh,Bajura,Constituency : 1 (1),Naresh Kumar Shahi,CPN (Unified Socialist),"10,973"
330,Nepal,Parliament & Provincial Election 2079,Provincial Election,Sudurpaschim Pradesh,Bajura,Constituency : 1 (2),Padam Bahadur Shahi,Nepali Congress,"20,119"
